10-04-2026 13:06:46 | POST | cafeteria-api/controllers/pedidos_item
10-04-2026 13:06:59 | POST | cafeteria-api/controllers/pedidos_item
10-04-2026 13:07:03 | POST | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:43 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:44 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:44 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:44 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:44 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:45 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:45 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:45 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:48 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:49 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:49 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:49 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:49 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:49 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:50 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:09:50 | GET | cafeteria-api/controllers/pedidos_item
10-04-2026 13:13:11 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:13:12 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:13:12 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:13:12 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:13:12 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:14 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:15 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:16 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:16 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:16 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:16 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:17 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:18 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:18 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:46 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:47 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:47 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:47 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:47 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:16:47 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:47 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:49 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:49 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:49 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:50 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:50 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:50 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:50 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:18:51 | GET | cafeteria-api/controllers/pedidos_itens
